quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
5,2.3333082656368864,-1.1026203100656484,-0.7721903879003982,1.8581712347473065,-2.4651040224918206,1.6118350370338217,2.565872008611105,0.009554212804811711,1.1761904233134843,-0.1839228381609285,2.5346487416828145
5,1.7069275337113574,-0.6891551592904078,-3.170085660698769,0.5944312076207876,-2.882403588246988,3.332632989793271,4.4660460401774555,0.002796087302001188,1.2561856757728702,-0.1839228381609285,2.6399141053352406
0,1.9895168341518488,-0.008032171697264267,-2.7806208939370456,0.7476353658440151,-2.617295837833746,2.9963320936259588,3.8920651660872,0.009009294157587446,1.200567011191103,-0.5762534290884459,2.2733622343171422
0,1.9186857628004417,-0.1899505839584458,-4.422848629194137,0.1922718876471227,-1.2765434971607714,2.7733384411303272,3.367709537501166,0.006687588149816602,1.2035727243045962,-0.6500876910994983,2.283606126396243
3,1.8102540518642192,-1.5050778971098575,-0.8867319296326106,0.3450071390710503,-2.551046452292545,3.701598226521711,5.106018198528808,0.003194890896519067,1.1823405041988222,-0.507497833673316,2.477546295381708
4,2.1177002537969263,-1.231001476713855,-0.709276562489829,0.7476353658440151,-2.2537949288246137,1.793757471890728,2.485906150121084,0.006061591378595155,1.1854014187405006,-0.4588658848352796,2.518663746586134
2,2.198557022569998,-0.4588658848352796,-2.9565115604007097,0.6481498146292095,-1.8451602459551701,3.2962812117125955,4.499942994775499,0.010346292054144267,1.1543623037726016,-0.3396773675701613,2.2419854708651163
4,2.176114428940097,-1.0729445419195318,-0.8627499649461253,1.7769841836459006,-2.4651040224918206,1.947622967058988,2.565872008611105,0.008543400997294084,1.1975522365230131,-0.4588658848352796,2.494196696695093
3,1.9757463053410709,-0.44316697529217586,-3.170085660698769,0.7938970836600885,-2.385966701933097,2.833918977391387,4.477473168817895,0.009405628074095718,1.2646915393606417,-0.5242486440981314,2.283606126396243
2,2.0809404178035718,-0.2783920255446883,-0.5586162876023391,0.6991292522374928,-2.0402208285265546,3.4015973016834824,4.897929348180155,0.00876150566857267,1.1792701916855641,-0.3974969384589874,2.2419854708651163
2,2.2630123178742223,-0.491022996469811,-0.6694306539426292,0.8381129508101309,-2.396895772465287,3.332632989793271,4.262848876844552,0.011632084229707696,1.2561856757728702,-0.5412848312506993,2.2733622343171422
3,1.842452583543573,-0.9888614247089905,-1.5994875815809322,1.1668937960845154,-2.4418471603275536,2.7088498812727746,3.6638692911097688,0.007571265496318126,1.2731256630142527,-0.6311117896404926,2.542546429234415
0,1.903896969164905,-0.25877072895736086,-3.4420193761824103,0.5944312076207876,-2.4079456086518722,1.793757471890728,2.485906150121084,0.007968169649176881,1.27032218486747,-0.44316697529217586,2.2987778546510915
1,2.4520390461623833,-0.7298111649315367,-0.7940730991499059,0.4774756440844366,-1.8388510767619055,3.5838522162462305,3.9320608991646533,0.010306702988638948,1.2214197179296566,-0.13696585507315742,2.293746144326841
2,2.231303890989082,-0.709276562489829,-1.1973282616072674,0.7476353658440151,-1.973281345851445,1.793757471890728,2.7733384411303272,0.00876150566857267,1.173101140658849,-0.3119747650208255,2.4169846333025418
5,2.209592226144881,-0.8867319296326106,-0.6694306539426292,0.5944312076207876,-2.4889146711855394,1.947622967058988,2.7733384411303272,0.0065981840282269034,1.1700022847547826,-0.353821874956326,2.526688183802955
4,2.303784373569528,-1.1332037334377287,-0.7298111649315367,0.9601162114141847,-2.333044300478754,2.6399141053352406,3.4968711317304377,0.011582661243066448,1.215506040139609,-0.20825493882045903,2.352517461742255
2,2.0556610130144324,-0.3396773675701613,-2.631089159966082,0.6481498146292095,-2.396895772465287,2.9963320936259588,3.5556908598701917,0.008245908853850804,1.2272986296294326,-0.353821874956326,2.3898631011011062
5,2.2419854708651163,-1.1647520911726548,-0.5586162876023391,1.0338959739484184,-2.385966701933097,1.793757471890728,2.833918977391387,0.008364916331627672,1.1512047387872804,-0.07042246429654582,2.4606139572189556
3,2.1531565795021166,-0.7721903879003982,-1.1332037334377287,0.9601162114141847,-2.3227878003115654,3.045093703091715,3.912262976632753,0.010148331051815136,1.2184672504763885,-0.08121005542554317,2.293746144326841
5,2.5346487416828145,-1.1332037334377287,-0.3119747650208255,0.7938970836600885,-2.4769384801388235,1.793757471890728,3.367709537501166,0.01064316009847976,1.0619483042965183,-0.1839228381609285,2.283606126396243
